country_name,year,DM_age_15.19_p,DM_age_20.24_p,DM_age_25.29_p,DM_age_30.34_p,DM_age_35.39_p,DM_age_40.44_p,DM_age_45.49_p,DM_age_marr_mean,DM_age_mean,DM_born_rural_p,DM_marr_p,DM_nvr_marr_p,DM_urban_p,drought_spei03_n1_share12,drought_spei03_n1_share36,drought_spei03_n1_share60,drought_spei03_n1.5_share12,drought_spei03_n1.5_share36,drought_spei03_n1.5_share60,drought_spei03_n2_share12,drought_spei03_n2_share36,drought_spei03_n2_share60,ED_attainment_no_educ_p,ED_attainment_primary_completed_p,ED_attainment_primary_p,ED_attainment_secondary_completed_p,ED_attainment_secondary_higher_p,ED_attainment_secondary_p,ED_educ_years_mean,ED_litt_p,EI_elec_p,EI_fridge_p,EI_radio_p,EI_tv_p,EI_women_elec_p,EI_women_fridge_p,EI_women_radio_p,EI_women_tv_p,ER_elec_rural_p,ER_elec_urban_p,FP_desired_mean,gdp_pc,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,hdi,HH_bicycle_p,HH_car_p,HH_floor_high_p,HH_floor_low_p,HH_motorcycle_p,HH_time_water_mean,HH_toilet_high_p,HH_toilet_low_p,HH_water_high_p,HH_water_low_p,HH_women_floor_high_p,HH_women_floor_low_p,HH_women_time_water_mean,HH_women_toilet_high_p,HH_women_toilet_low_p,HH_women_water_high_p,HH_women_water_low_p,pre_max12,pre_max36,pre_max60,pre_mean12,pre_mean36,pre_mean60,pre_min12,pre_min36,pre_min60,pre_sum12,pre_sum36,pre_sum60,RH_age_first_birth_mean,RH_children_born_mean,RH_children_living_mean,RH_contr_modern_know_p,tmp_max12,tmp_max36,tmp_max60,tmp_mean12,tmp_mean36,tmp_mean60,tmp_min12,tmp_min36,tmp_min60,WK_working_p,WL_wealth_gini,WL_wealth_mean,WL_wealth_median,RH_family_planning_mobile_p,RH_family_planning_radio_p,RH_family_planning_tv_p,WK_working_agri_p,RH_family_planning_news_p,WK_working12_p,DM_age_diff_mean,EI_telephone_p,EI_women_telephone_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_money_p,DP_decide_visits_p,EI_modern_cooking_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,EI_women_modern_cooking_p,HL_smoke_cig_p,HL_smoke_p,WK_working_paid_p,HL_number_cigarettes_mean,HL_smoke10_p,HL_smoke15_p,HL_smoke5_p,NT_women_anemia_any_p,ED_litt_whole_p,DP_earn_more_equal_p,DP_earn_more_p,HL_health_insur_p,HH_watch_p,DP_owns_house_p,DP_owns_land_p,DP_decide_contraception_p,EI_computer_p,DP_decide_no_contraception_p,EI_internet_day_p,EI_internet_week_p,EI_mobile_p
Colombia,1990,21.04,19.69,17.45,14.34,11.16,8.53,7.80,19.79,28.49,32.37,52.76,36.11,74.28,0.02,0.04,0.06,0.00,0.00,0.01,0.00,0.00,0.00,4.12,17.69,40.84,13.38,55.03,45.61,6.89,100.00,90.00,51.94,84.08,71.55,92.55,59.46,87.69,79.65,69.85,97.93,2.59,7154.98,0.64,4.60,4.61,0.75,5.78,0.59,27.86,12.21,38.17,10.96,5.08,14.95,68.11,18.56,0.00,17.89,42.71,8.60,16.06,71.64,14.86,0.00,14.77,257.55,379.12,408.55,180.59,197.21,195.10,101.68,61.13,51.10,2167.08,7099.50,11706.07,21.34,1.96,1.84,98.06,22.47,22.83,23.02,21.85,21.82,21.84,21.33,20.84,20.84,39.71,0.37,56.16,58.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1991,20.71,19.22,17.23,14.40,11.43,9.03,7.98,19.84,28.69,32.37,53.15,35.34,74.49,0.06,0.08,0.10,0.00,0.02,0.02,0.00,0.00,0.00,4.01,17.36,39.90,14.05,56.09,46.37,6.98,100.00,90.37,53.43,84.91,73.56,92.79,60.64,88.34,81.03,70.34,98.19,2.57,7274.70,0.64,4.55,4.57,0.75,5.71,0.60,30.67,12.49,40.21,10.95,5.52,14.70,54.49,18.49,1.16,16.76,44.62,8.67,15.59,57.31,14.89,1.01,13.82,264.55,370.99,400.30,178.69,192.41,190.02,92.03,59.30,51.28,2144.22,6926.91,11401.26,21.37,1.95,1.84,98.37,22.53,22.82,23.06,21.91,21.88,21.90,21.37,20.95,20.94,41.89,0.34,55.31,58.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1991,5.33,12.50,18.59,13.04,11.27,8.31,7.00,17.66,23.36,59.06,74.10,,20.25,0.06,0.09,0.13,0.00,0.01,0.04,0.00,0.00,0.00,64.90,2.85,4.92,0.68,6.22,5.63,0.81,89.77,56.73,11.93,36.20,22.09,44.23,10.12,30.32,18.70,43.13,93.17,3.55,3328.46,1.22,6.59,7.08,1.21,6.35,0.41,24.65,,,,7.14,44.16,19.98,80.03,25.80,35.17,,,35.29,16.36,59.62,20.78,26.39,94.31,132.32,133.38,29.78,31.17,29.77,2.80,0.96,0.70,357.30,1121.98,1786.02,19.19,3.07,2.71,51.24,30.36,30.77,30.77,21.21,21.27,21.28,9.81,9.19,9.19,14.42,0.40,38.95,31.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1992,20.38,18.75,17.01,14.47,11.71,9.53,8.16,19.90,28.89,32.38,53.54,34.56,74.69,0.10,0.12,0.14,0.00,0.04,0.04,0.00,0.00,0.00,3.90,17.03,38.96,14.72,57.14,47.12,7.08,100.00,90.74,54.92,85.73,75.57,93.03,61.82,88.99,82.42,70.83,98.46,2.55,7394.41,0.63,4.51,4.53,0.75,5.65,0.61,33.48,12.77,42.24,10.94,5.96,14.45,40.86,18.42,2.32,15.63,46.52,8.74,15.13,42.98,14.92,2.01,12.88,271.56,362.86,392.05,176.78,187.62,184.94,82.38,57.47,51.46,2121.37,6754.32,11096.46,21.40,1.94,1.83,98.68,22.60,22.82,23.11,21.97,21.93,21.96,21.41,21.07,21.05,44.08,0.32,54.46,57.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,1992,2.91,9.44,14.33,13.29,12.37,10.24,8.12,18.88,23.25,37.85,65.68,,37.04,0.00,0.07,0.14,0.00,0.02,0.07,0.00,0.01,0.02,32.80,3.48,18.42,10.93,19.46,15.65,3.18,85.71,93.70,57.67,62.86,77.78,66.61,41.06,46.21,56.25,87.44,98.21,2.00,6039.07,0.90,5.42,5.57,0.88,4.91,0.56,12.43,,56.50,29.40,,,88.58,11.42,72.86,14.90,37.64,22.69,,63.13,8.13,49.70,11.71,21.37,21.97,23.17,5.13,4.98,5.06,0.02,0.02,0.02,61.51,179.20,303.70,19.50,2.71,2.30,70.28,28.29,28.30,29.16,20.77,21.24,21.30,11.71,11.71,11.42,15.13,0.36,73.60,78.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,1992,23.04,20.21,16.14,14.54,11.68,8.66,5.73,17.66,27.91,67.13,60.55,25.30,19.38,0.38,0.26,0.23,0.17,0.15,0.10,0.12,0.08,0.05,22.58,2.60,52.16,0.76,25.24,23.98,3.48,100.00,7.67,1.66,34.27,3.10,10.82,2.49,40.66,4.84,1.33,40.97,5.67,1482.21,1.04,4.70,5.08,1.29,6.50,0.43,3.38,1.32,11.92,48.82,0.96,20.40,2.48,73.71,6.54,83.43,15.54,46.76,20.40,3.33,70.25,8.47,79.55,347.01,363.02,387.35,94.18,91.55,96.71,8.26,8.26,6.26,1130.19,3295.94,5802.42,18.67,3.23,2.62,57.09,25.99,26.42,26.42,23.40,23.43,23.46,19.62,19.62,19.62,76.14,0.48,13.15,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,1992,23.07,19.97,15.96,13.58,10.64,9.83,6.94,17.29,28.25,84.40,72.81,16.68,12.04,0.58,0.35,0.23,0.39,0.19,0.12,0.25,0.10,0.06,40.45,8.93,54.30,1.45,5.25,5.12,3.14,100.00,3.42,,34.82,,4.37,,40.19,,1.46,19.09,5.06,732.71,0.86,4.42,4.53,1.14,5.75,0.34,20.59,0.92,0.05,86.58,0.89,29.14,2.66,96.69,5.36,53.33,0.08,83.83,29.64,3.60,95.33,6.58,51.50,182.95,277.20,328.46,60.99,75.31,84.56,0.00,0.00,0.00,731.89,2711.00,5073.74,18.83,3.44,2.55,86.76,25.23,25.64,26.06,22.50,22.33,22.24,18.24,18.18,18.18,28.17,0.50,11.59,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,1992,23.28,18.25,16.42,14.74,12.73,7.73,6.84,18.67,28.20,64.56,55.23,39.07,46.03,0.17,0.12,0.14,0.05,0.03,0.04,0.00,0.00,0.00,64.73,7.44,17.07,2.57,18.19,16.40,2.39,100.00,51.15,31.03,84.27,59.29,52.73,34.08,87.79,65.19,19.81,87.43,3.45,3448.49,0.96,5.89,6.03,1.12,7.64,0.47,10.43,10.05,34.37,27.00,10.30,38.76,56.01,41.41,43.30,42.62,35.97,26.29,42.08,56.36,40.50,45.15,42.61,64.40,78.28,91.27,22.71,25.75,26.34,3.84,1.30,0.22,272.47,926.86,1580.39,20.84,2.46,2.15,96.46,27.57,27.90,27.95,17.42,17.85,17.89,9.17,8.97,8.97,17.80,0.37,48.30,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,1992,21.85,18.60,19.54,14.67,11.41,7.98,5.95,14.65,27.67,80.67,82.93,12.67,25.71,0.08,0.19,0.19,0.04,0.07,0.10,0.00,0.00,0.03,85.73,0.58,9.09,0.25,5.18,5.00,0.82,100.00,8.02,3.92,39.54,6.96,8.96,5.05,44.75,8.78,0.19,23.21,8.01,835.39,1.45,6.47,6.67,1.92,8.86,0.22,5.70,2.71,1.35,79.28,4.05,19.47,1.66,81.17,7.08,72.83,1.24,78.16,19.56,1.67,80.08,7.96,72.46,150.21,176.16,181.20,32.52,30.85,29.89,0.00,0.00,0.00,390.20,1110.75,1793.18,18.01,3.76,2.61,63.15,33.49,34.07,34.54,28.11,28.53,28.47,20.97,20.97,19.87,44.23,0.47,12.76,9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,1992,5.24,12.34,18.25,12.90,11.21,8.29,7.08,17.70,23.20,,73.30,,20.22,0.07,0.10,0.13,0.00,0.01,0.04,0.00,0.00,0.00,63.69,2.95,5.07,0.90,6.54,5.76,0.85,85.01,58.69,13.38,36.46,23.91,45.09,11.00,30.13,19.71,45.55,93.54,3.52,3374.22,1.22,6.65,7.12,1.20,6.34,0.41,25.14,,,,7.95,43.54,22.15,77.69,26.81,33.50,,,34.39,17.64,57.55,21.11,25.02,94.75,130.88,133.58,29.99,31.04,29.70,2.71,0.97,0.73,359.82,1117.60,1782.25,19.18,3.03,2.68,51.87,30.40,30.79,30.80,21.25,21.30,21.31,9.82,9.21,9.21,14.47,0.44,39.46,32.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
